week,run,method,objective
02/21-02/27,0,GZO_NS,-12.590195515635553
02/21-02/27,0,GZO_HS,-13.317765344137701
02/21-02/27,0,ZO_TG,-11.423914215684949
02/21-02/27,0,ZO_OG,0.26457246595408085
02/21-02/27,0,ZO_OGVR,-8.38590274309894
02/21-02/27,1,GZO_NS,-12.659387374373036
02/21-02/27,1,GZO_HS,-12.923589482375249
02/21-02/27,1,ZO_TG,-11.002745791881196
02/21-02/27,1,ZO_OG,1.0886645983889531
02/21-02/27,1,ZO_OGVR,-6.7393488532206485
02/21-02/27,2,GZO_NS,-9.578279680747059
02/21-02/27,2,GZO_HS,-12.559101038507462
02/21-02/27,2,ZO_TG,-11.605371867154947
02/21-02/27,2,ZO_OG,4.364342050261015
02/21-02/27,2,ZO_OGVR,-7.690613001729675
02/21-02/27,3,GZO_NS,-12.505625541923738
02/21-02/27,3,GZO_HS,-12.746435427908994
02/21-02/27,3,ZO_TG,-12.362459902089252
02/21-02/27,3,ZO_OG,1.92555953066731
02/21-02/27,3,ZO_OGVR,-6.392677046736739
02/21-02/27,4,GZO_NS,-13.630250350728144
02/21-02/27,4,GZO_HS,-13.71030821758723
02/21-02/27,4,ZO_TG,-11.940048931742556
02/21-02/27,4,ZO_OG,1.8754231968567878
02/21-02/27,4,ZO_OGVR,-9.939508761363022
02/21-02/27,5,GZO_NS,-12.72360189701973
02/21-02/27,5,GZO_HS,-12.711645780599843
02/21-02/27,5,ZO_TG,-10.54369999477533
02/21-02/27,5,ZO_OG,5.109754935926856
02/21-02/27,5,ZO_OGVR,-3.70122683751684
02/21-02/27,6,GZO_NS,-13.884751187096938
02/21-02/27,6,GZO_HS,-13.849377553775373
02/21-02/27,6,ZO_TG,-13.397052779196747
02/21-02/27,6,ZO_OG,-0.33565125238379995
02/21-02/27,6,ZO_OGVR,-8.107087018193585
02/21-02/27,7,GZO_NS,-11.835100716613114
02/21-02/27,7,GZO_HS,-11.850420569786424
02/21-02/27,7,ZO_TG,-10.566877530101989
02/21-02/27,7,ZO_OG,1.1018952217481806
02/21-02/27,7,ZO_OGVR,-3.6684887502084003
02/21-02/27,8,GZO_NS,-12.18532784335195
02/21-02/27,8,GZO_HS,-11.763331237837981
02/21-02/27,8,ZO_TG,-10.95850678813561
02/21-02/27,8,ZO_OG,11.494073144560051
02/21-02/27,8,ZO_OGVR,-4.003302841304081
02/21-02/27,9,GZO_NS,-13.494307559688375
02/21-02/27,9,GZO_HS,-13.39383437477482
02/21-02/27,9,ZO_TG,-11.15794632913746
02/21-02/27,9,ZO_OG,5.575737736196003
02/21-02/27,9,ZO_OGVR,-6.993828456961457
02/21-02/27,10,GZO_NS,-11.88894573411425
02/21-02/27,10,GZO_HS,-12.144525080702612
02/21-02/27,10,ZO_TG,-8.495030014767192
02/21-02/27,10,ZO_OG,0.9972043167893285
02/21-02/27,10,ZO_OGVR,-4.002304364863539
02/21-02/27,11,GZO_NS,-13.254628643566226
02/21-02/27,11,GZO_HS,-13.168632167899853
02/21-02/27,11,ZO_TG,-10.748103731278935
02/21-02/27,11,ZO_OG,6.435221693048511
02/21-02/27,11,ZO_OGVR,-7.291529251819331
02/21-02/27,12,GZO_NS,-11.56525517038408
02/21-02/27,12,GZO_HS,-11.769487462833803
02/21-02/27,12,ZO_TG,-8.984172166726163
02/21-02/27,12,ZO_OG,46.35491293409441
02/21-02/27,12,ZO_OGVR,-5.21255044938934
02/21-02/27,13,GZO_NS,-11.76531894073634
02/21-02/27,13,GZO_HS,-12.391769508578127
02/21-02/27,13,ZO_TG,-12.404342104499543
02/21-02/27,13,ZO_OG,3.41854715887467
02/21-02/27,13,ZO_OGVR,-4.830973684574274
02/21-02/27,14,GZO_NS,-12.409807223085192
02/21-02/27,14,GZO_HS,-13.736648886679964
02/21-02/27,14,ZO_TG,-11.450155287675654
02/21-02/27,14,ZO_OG,-0.7690567911879838
02/21-02/27,14,ZO_OGVR,-7.998434096032039
02/21-02/27,15,GZO_NS,-12.717752339284342
02/21-02/27,15,GZO_HS,-12.754506915334234
02/21-02/27,15,ZO_TG,-9.34124302454338
02/21-02/27,15,ZO_OG,3.776067327055326
02/21-02/27,15,ZO_OGVR,-5.51471514363354
02/21-02/27,16,GZO_NS,-12.82861738591245
02/21-02/27,16,GZO_HS,-12.940016020867308
02/21-02/27,16,ZO_TG,-10.290693370468297
02/21-02/27,16,ZO_OG,5.0402056921813
02/21-02/27,16,ZO_OGVR,-6.9830411818120535
02/21-02/27,17,GZO_NS,-12.052967899756712
02/21-02/27,17,GZO_HS,-12.169441343051442
02/21-02/27,17,ZO_TG,-9.62682691822606
02/21-02/27,17,ZO_OG,7.037377039776431
02/21-02/27,17,ZO_OGVR,-6.119468045705223
02/21-02/27,18,GZO_NS,-13.915626570943601
02/21-02/27,18,GZO_HS,-14.07497146177105
02/21-02/27,18,ZO_TG,-10.468515803912553
02/21-02/27,18,ZO_OG,-5.377527369056628
02/21-02/27,18,ZO_OGVR,-7.309602984005923
02/21-02/27,19,GZO_NS,-13.136841768189829
02/21-02/27,19,GZO_HS,-13.066316782021024
02/21-02/27,19,ZO_TG,-11.627633147199798
02/21-02/27,19,ZO_OG,2.666708298002383
02/21-02/27,19,ZO_OGVR,-5.154124561166363
03/21-03/27,0,GZO_NS,-12.123650577548728
03/21-03/27,0,GZO_HS,-12.595008964546912
03/21-03/27,0,ZO_TG,-9.474922453098493
03/21-03/27,0,ZO_OG,1.7168709380666085
03/21-03/27,0,ZO_OGVR,-7.843298726178697
03/21-03/27,1,GZO_NS,-14.621617131178022
03/21-03/27,1,GZO_HS,-14.690461926094345
03/21-03/27,1,ZO_TG,-13.97011928924523
03/21-03/27,1,ZO_OG,-2.3956551198036644
03/21-03/27,1,ZO_OGVR,-7.913544091015987
03/21-03/27,2,GZO_NS,-12.349737872780867
03/21-03/27,2,GZO_HS,-12.41859679916731
03/21-03/27,2,ZO_TG,-9.116777017191765
03/21-03/27,2,ZO_OG,1.9352983041466867
03/21-03/27,2,ZO_OGVR,-5.262364918564229
03/21-03/27,3,GZO_NS,-11.294974330099695
03/21-03/27,3,GZO_HS,-11.200235694866846
03/21-03/27,3,ZO_TG,-7.74657069839609
03/21-03/27,3,ZO_OG,2.6500904890003185
03/21-03/27,3,ZO_OGVR,-4.0813808563444836
03/21-03/27,4,GZO_NS,-12.813981264732309
03/21-03/27,4,GZO_HS,-12.533122026720223
03/21-03/27,4,ZO_TG,-10.685288159985344
03/21-03/27,4,ZO_OG,-0.13502339480637868
03/21-03/27,4,ZO_OGVR,-8.430986039327658
03/21-03/27,5,GZO_NS,-12.184179805928856
03/21-03/27,5,GZO_HS,-12.266711238669258
03/21-03/27,5,ZO_TG,-10.318385299607053
03/21-03/27,5,ZO_OG,1.8360579045815164
03/21-03/27,5,ZO_OGVR,-7.212318476063531
03/21-03/27,6,GZO_NS,-13.844842367073921
03/21-03/27,6,GZO_HS,-13.796551230285438
03/21-03/27,6,ZO_TG,-11.993039218484103
03/21-03/27,6,ZO_OG,-0.21188573910960534
03/21-03/27,6,ZO_OGVR,-7.628340366512894
03/21-03/27,7,GZO_NS,-13.077232312786835
03/21-03/27,7,GZO_HS,-13.132787071992855
03/21-03/27,7,ZO_TG,-9.92825439754906
03/21-03/27,7,ZO_OG,2.1932135891374327
03/21-03/27,7,ZO_OGVR,-5.594297197128795
03/21-03/27,8,GZO_NS,-8.683421452558887
03/21-03/27,8,GZO_HS,-10.790396662107366
03/21-03/27,8,ZO_TG,-8.880439657557993
03/21-03/27,8,ZO_OG,1.1985603516457395
03/21-03/27,8,ZO_OGVR,-4.2185789200665145
03/21-03/27,9,GZO_NS,-11.928749818181062
03/21-03/27,9,GZO_HS,-10.481464687030991
03/21-03/27,9,ZO_TG,-9.573017873855333
03/21-03/27,9,ZO_OG,2.355959844004046
03/21-03/27,9,ZO_OGVR,-6.356905013061266
03/21-03/27,10,GZO_NS,-12.425944787109398
03/21-03/27,10,GZO_HS,-12.15689800832484
03/21-03/27,10,ZO_TG,-9.578320586505033
03/21-03/27,10,ZO_OG,12.391212465563331
03/21-03/27,10,ZO_OGVR,-6.8627444855899125
03/21-03/27,11,GZO_NS,-11.24321585712737
03/21-03/27,11,GZO_HS,-11.490436151630977
03/21-03/27,11,ZO_TG,-9.718065612654943
03/21-03/27,11,ZO_OG,4.556483992496247
03/21-03/27,11,ZO_OGVR,-4.181872048088356
03/21-03/27,12,GZO_NS,-13.23098740301159
03/21-03/27,12,GZO_HS,-13.175174184314018
03/21-03/27,12,ZO_TG,-11.37326732196816
03/21-03/27,12,ZO_OG,1.997298109504243
03/21-03/27,12,ZO_OGVR,-8.361734507859188
03/21-03/27,13,GZO_NS,-12.366077514194055
03/21-03/27,13,GZO_HS,-12.581224371473711
03/21-03/27,13,ZO_TG,-12.04228645075607
03/21-03/27,13,ZO_OG,1.2804984291949555
03/21-03/27,13,ZO_OGVR,-4.223005966307046
03/21-03/27,14,GZO_NS,-13.511604477777848
03/21-03/27,14,GZO_HS,-13.294563950475414
03/21-03/27,14,ZO_TG,-11.975750068546105
03/21-03/27,14,ZO_OG,-1.5596075052478997
03/21-03/27,14,ZO_OGVR,-5.773735395268549
03/21-03/27,15,GZO_NS,-11.964388170271995
03/21-03/27,15,GZO_HS,-12.565708274991765
03/21-03/27,15,ZO_TG,-11.489182211866005
03/21-03/27,15,ZO_OG,4.537731636565777
03/21-03/27,15,ZO_OGVR,-8.173767339826199
03/21-03/27,16,GZO_NS,-14.247317994349842
03/21-03/27,16,GZO_HS,-14.183403404073294
03/21-03/27,16,ZO_TG,-11.34603169232268
03/21-03/27,16,ZO_OG,-1.749701317262315
03/21-03/27,16,ZO_OGVR,-8.067584612025273
03/21-03/27,17,GZO_NS,-13.064860381825008
03/21-03/27,17,GZO_HS,-13.042628381567557
03/21-03/27,17,ZO_TG,-11.322878709312539
03/21-03/27,17,ZO_OG,-1.0312374673065205
03/21-03/27,17,ZO_OGVR,-6.376244756470852
03/21-03/27,18,GZO_NS,-11.941480152790472
03/21-03/27,18,GZO_HS,-11.736755888268208
03/21-03/27,18,ZO_TG,-9.11511167394586
03/21-03/27,18,ZO_OG,3.2790525629676415
03/21-03/27,18,ZO_OGVR,-3.8400360621061598
03/21-03/27,19,GZO_NS,-13.520210553198064
03/21-03/27,19,GZO_HS,-13.534316267159179
03/21-03/27,19,ZO_TG,-10.679219592419049
03/21-03/27,19,ZO_OG,-3.599790455989095
03/21-03/27,19,ZO_OGVR,-7.83524429337513
05/23-05/29,0,GZO_NS,-14.655265314591961
05/23-05/29,0,GZO_HS,-14.530500957655468
05/23-05/29,0,ZO_TG,-5.526420494412272
05/23-05/29,0,ZO_OG,3.793585270988649
05/23-05/29,0,ZO_OGVR,-1.605766832447318
05/23-05/29,1,GZO_NS,-13.68756695314203
05/23-05/29,1,GZO_HS,-14.944957645808758
05/23-05/29,1,ZO_TG,-7.213880337949769
05/23-05/29,1,ZO_OG,0.2630123147013101
05/23-05/29,1,ZO_OGVR,-4.580551595589241
05/23-05/29,2,GZO_NS,-14.967375513103267
05/23-05/29,2,GZO_HS,-16.117643995337566
05/23-05/29,2,ZO_TG,-11.81587883525559
05/23-05/29,2,ZO_OG,-0.4896437380136945
05/23-05/29,2,ZO_OGVR,-5.273353466468852
05/23-05/29,3,GZO_NS,-15.671239071442153
05/23-05/29,3,GZO_HS,-14.793313796093482
05/23-05/29,3,ZO_TG,-11.234734583803162
05/23-05/29,3,ZO_OG,-0.08316789710749217
05/23-05/29,3,ZO_OGVR,-2.283529789777498
05/23-05/29,4,GZO_NS,-16.96978384623686
05/23-05/29,4,GZO_HS,-16.48930353315193
05/23-05/29,4,ZO_TG,-13.513402964704836
05/23-05/29,4,ZO_OG,-2.525917634919011
05/23-05/29,4,ZO_OGVR,-6.5249919459893855
05/23-05/29,5,GZO_NS,-15.721921375066643
05/23-05/29,5,GZO_HS,-14.204804357853252
05/23-05/29,5,ZO_TG,-9.528887771147396
05/23-05/29,5,ZO_OG,0.08968833114779642
05/23-05/29,5,ZO_OGVR,-5.185096152376343
05/23-05/29,6,GZO_NS,-16.181924097083826
05/23-05/29,6,GZO_HS,-13.687398247245875
05/23-05/29,6,ZO_TG,-8.30348689513599
05/23-05/29,6,ZO_OG,-0.23853772927857483
05/23-05/29,6,ZO_OGVR,-4.504016275485271
05/23-05/29,7,GZO_NS,-17.61876972336496
05/23-05/29,7,GZO_HS,-14.807375106566138
05/23-05/29,7,ZO_TG,-12.29126589248906
05/23-05/29,7,ZO_OG,-1.1697228077462158
05/23-05/29,7,ZO_OGVR,-8.649141531097467
05/23-05/29,8,GZO_NS,-17.074666648807312
05/23-05/29,8,GZO_HS,-17.073397754230648
05/23-05/29,8,ZO_TG,-11.088383026171751
05/23-05/29,8,ZO_OG,-1.6176477892195136
05/23-05/29,8,ZO_OGVR,-9.741257941087287
05/23-05/29,9,GZO_NS,-14.19163525418266
05/23-05/29,9,GZO_HS,-13.678905890201715
05/23-05/29,9,ZO_TG,-8.257825099865855
05/23-05/29,9,ZO_OG,0.9659675199985193
05/23-05/29,9,ZO_OGVR,-4.786485283648041
05/23-05/29,10,GZO_NS,-15.451244144066521
05/23-05/29,10,GZO_HS,-15.12345648553862
05/23-05/29,10,ZO_TG,-9.902714536950164
05/23-05/29,10,ZO_OG,0.36691892030862855
05/23-05/29,10,ZO_OGVR,-3.371738178410615
05/23-05/29,11,GZO_NS,-16.7432309101734
05/23-05/29,11,GZO_HS,-16.451221347443486
05/23-05/29,11,ZO_TG,-10.425916542055244
05/23-05/29,11,ZO_OG,-1.2222175148638632
05/23-05/29,11,ZO_OGVR,-7.596796902073682
05/23-05/29,12,GZO_NS,-17.0676031469959
05/23-05/29,12,GZO_HS,-17.614758066080828
05/23-05/29,12,ZO_TG,-15.328395653443483
05/23-05/29,12,ZO_OG,-2.164800739337103
05/23-05/29,12,ZO_OGVR,-5.938480211481959
05/23-05/29,13,GZO_NS,-15.232271811207264
05/23-05/29,13,GZO_HS,-14.194210363922467
05/23-05/29,13,ZO_TG,-8.213143985013419
05/23-05/29,13,ZO_OG,0.8410649575972838
05/23-05/29,13,ZO_OGVR,-3.2732216388541246
05/23-05/29,14,GZO_NS,-14.828762418620132
05/23-05/29,14,GZO_HS,-14.693020142035703
05/23-05/29,14,ZO_TG,-10.020418846000947
05/23-05/29,14,ZO_OG,2.7751069143458333
05/23-05/29,14,ZO_OGVR,-7.2654320669926005
05/23-05/29,15,GZO_NS,-15.88850879256987
05/23-05/29,15,GZO_HS,-15.578156672493419
05/23-05/29,15,ZO_TG,-11.592705379440517
05/23-05/29,15,ZO_OG,-0.9217640929725835
05/23-05/29,15,ZO_OGVR,-7.155386747818419
05/23-05/29,16,GZO_NS,-14.626973072384567
05/23-05/29,16,GZO_HS,-16.688785906260243
05/23-05/29,16,ZO_TG,-10.35615161978481
05/23-05/29,16,ZO_OG,-0.09777064776025966
05/23-05/29,16,ZO_OGVR,-7.5083408989145575
05/23-05/29,17,GZO_NS,-15.53678677648053
05/23-05/29,17,GZO_HS,-14.760042334823797
05/23-05/29,17,ZO_TG,-12.725666731921363
05/23-05/29,17,ZO_OG,0.10570129745521004
05/23-05/29,17,ZO_OGVR,-5.345200943224324
05/23-05/29,18,GZO_NS,-16.011795253691588
05/23-05/29,18,GZO_HS,-15.898233741406129
05/23-05/29,18,ZO_TG,-8.60231043384333
05/23-05/29,18,ZO_OG,1.8924200765339916
05/23-05/29,18,ZO_OGVR,-5.293281577902386
05/23-05/29,19,GZO_NS,-15.9082641244488
05/23-05/29,19,GZO_HS,-16.833932940316547
05/23-05/29,19,ZO_TG,-10.258740532974098
